RNAAccession	ApprovedSymbol
NM_005691	ABCC9
NM_020297	ABCC9
NM_000018	ACADVL
NM_001033859	ACADVL
NM_001270447	ACADVL
NM_001270448	ACADVL
NM_005159	ACTC1
NM_001103	ACTN2
NM_001278343	ACTN2
NM_001278344	ACTN2
NM_000028	AGL
NM_000642	AGL
NM_000643	AGL
NM_000644	AGL
NM_000645	AGL
NM_000646	AGL
NM_014391	ANKRD1
NM_006886	ATP5E
NM_004281	BAG3
NM_004333	BRAF
NM_145046	CALR3
NM_001232	CASQ2
NM_001234	CAV3
NM_033337	CAV3
NM_005188	CBL
NM_001008215	COA5
NM_001289807	CRYAB
NM_001289808	CRYAB
NM_001885	CRYAB
NM_003476	CSRP3
NM_001142544	CTF1
NM_001330	CTF1
NM_001127384	CTNNA3
NM_001291133	CTNNA3
NM_013266	CTNNA3
NM_001927	DES
NM_000109	DMD
NM_004006	DMD
NM_004009	DMD
NM_004010	DMD
NM_004011	DMD
NM_004012	DMD
NM_004013	DMD
NM_004014	DMD
NM_004015	DMD
NM_004016	DMD
NM_004017	DMD
NM_004018	DMD
NM_004019	DMD
NM_004020	DMD
NM_004021	DMD
NM_004022	DMD
NM_004023	DMD
NM_001081560	DMPK
NM_001081562	DMPK
NM_001081563	DMPK
NM_001288764	DMPK
NM_001288765	DMPK
NM_001288766	DMPK
NM_004409	DMPK
NM_001190233	DNAJC19
NM_145261	DNAJC19
NM_014908	DOLK
NM_004949	DSC2
NM_024422	DSC2
NM_001943	DSG2
NM_001008844	DSP
NM_004415	DSP
NM_001128175	DTNA
NM_001198938	DTNA
NM_001198939	DTNA
NM_001198940	DTNA
NM_001198941	DTNA
NM_001198942	DTNA
NM_001198943	DTNA
NM_001198944	DTNA
NM_001198945	DTNA
NM_001390	DTNA
NM_001391	DTNA
NM_001392	DTNA
NM_032975	DTNA
NM_032978	DTNA
NM_032979	DTNA
NM_032980	DTNA
NM_032981	DTNA
NM_000117	EMD
NM_001301012	EYA4
NM_001301013	EYA4
NM_004100	EYA4
NM_172103	EYA4
NM_172105	EYA4
NM_001159699	FHL1
NM_001159700	FHL1
NM_001159701	FHL1
NM_001159702	FHL1
NM_001159703	FHL1
NM_001159704	FHL1
NM_001167819	FHL1
NM_001449	FHL1
NM_001039492	FHL2
NM_001450	FHL2
NM_201555	FHL2
NM_201557	FHL2
NM_001079802	FKTN
NM_001198963	FKTN
NM_006731	FKTN
NM_017547	FOXRED1
NM_000144	FXN
NM_001161706	FXN
NM_181425	FXN
NM_000152	GAA
NM_001079803	GAA
NM_001079804	GAA
NM_021167	GATAD1
NM_000169	GLA
NM_000404	GLB1
NM_001079811	GLB1
NM_001135602	GLB1
NM_000181	GUSB
NM_001284290	GUSB
NM_001293104	GUSB
NM_001293105	GUSB
NM_000410	HFE
NM_001300749	HFE
NM_139003	HFE
NM_139004	HFE
NM_139006	HFE
NM_139007	HFE
NM_139008	HFE
NM_139009	HFE
NM_139010	HFE
NM_139011	HFE
NM_001130442	HRAS
NM_005343	HRAS
NM_176795	HRAS
NM_001014794	ILK
NM_001014795	ILK
NM_001278441	ILK
NM_001278442	ILK
NM_004517	ILK
NM_020433	JPH2
NM_175913	JPH2
NM_002230	JUP
NM_021991	JUP
NM_004985	KRAS
NM_033360	KRAS
NM_001105206	LAMA4
NM_001105207	LAMA4
NM_001105208	LAMA4
NM_001105209	LAMA4
NM_002290	LAMA4
NM_001122606	LAMP2
NM_002294	LAMP2
NM_013995	LAMP2
NM_001080114	LDB3
NM_001080115	LDB3
NM_001080116	LDB3
NM_001171610	LDB3
NM_001171611	LDB3
NM_007078	LDB3
NM_001257374	LMNA
NM_001282624	LMNA
NM_001282625	LMNA
NM_001282626	LMNA
NM_005572	LMNA
NM_170707	LMNA
NM_170708	LMNA
NM_002755	MAP2K1
NM_030662	MAP2K2
NM_007208	MRPL3
NM_000256	MYBPC3
NM_002471	MYH6
NM_000257	MYH7
NM_000432	MYL2
NM_000258	MYL3
NM_033118	MYLK2
NM_003803	MYOM1
NM_019856	MYOM1
NM_016599	MYOZ2
NM_001256267	MYPN
NM_001256268	MYPN
NM_032578	MYPN
NM_001173484	NEBL
NM_006393	NEBL
NM_213569	NEBL
NM_001172309	NEXN
NM_144573	NEXN
NM_002524	NRAS
NM_001114107	PDLIM3
NM_001257962	PDLIM3
NM_001257963	PDLIM3
NM_014476	PDLIM3
NM_001005242	PKP2
NM_004572	PKP2
NM_002667	PLN
NM_001040633	PRKAG2
NM_016203	PRKAG2
NM_024429	PRKAG2
NM_002834	PTPN11
NM_080601	PTPN11
NM_002880	RAF1
NM_001134363	RBM20
NM_001035	RYR2
NM_000335	SCN5A
NM_001099404	SCN5A
NM_001099405	SCN5A
