RNAAccession	ApprovedSymbol
NM_001243597	CDON
NM_016952	CDON
NM_001206389	FGF8
NM_006119	FGF8
NM_033163	FGF8
NM_033164	FGF8
NM_033165	FGF8
NM_005270	GLI2
NM_000168	GLI3
NM_000264	PTCH1
NM_001083602	PTCH1
NM_001083603	PTCH1
NM_001083604	PTCH1
NM_001083605	PTCH1
NM_001083606	PTCH1
NM_001083607	PTCH1
NM_000193	SHH
NM_005413	SIX3
NM_001278682	TGIF1
NM_001278684	TGIF1
NM_001278686	TGIF1
NM_003244	TGIF1
NM_170695	TGIF1
NM_173207	TGIF1
NM_173208	TGIF1
NM_173209	TGIF1
NM_173210	TGIF1
NM_173211	TGIF1
NM_174886	TGIF1
NM_007129	ZIC2
