RNAAccession	ApprovedSymbol
NM_004333	BRAF
NM_001793	CDH3
NM_001114173	CTSC
NM_001814	CTSC
NM_148170	CTSC
NM_001005609	EDA
NM_001005610	EDA
NM_001005612	EDA
NM_001005613	EDA
NM_001399	EDA
NM_022336	EDAR
NM_080738	EDARADD
NM_145861	EDARADD
NM_017671	FERMT1
NM_001110219	GJB6
NM_001110220	GJB6
NM_001110221	GJB6
NM_006783	GJB6
NM_001280541	IFT122
NM_001280545	IFT122
NM_001280546	IFT122
NM_018262	IFT122
NM_052985	IFT122
NM_052989	IFT122
NM_052990	IFT122
NM_001102564	IFT43
NM_001255995	IFT43
NM_052873	IFT43
NM_000526	KRT14
NM_001300810	KRT85
NM_002283	KRT85
NM_002755	MAP2K1
NM_030662	MAP2K2
NM_002448	MSX1
NM_000299	PKP1
NM_001005337	PKP1
NM_002855	PVRL1
NM_203285	PVRL1
NM_203286	PVRL1
NM_001114978	TP63
NM_001114979	TP63
NM_001114980	TP63
NM_001114981	TP63
NM_001114982	TP63
NM_003722	TP63
NM_001282902	TRPS1
NM_001282903	TRPS1
NM_014112	TRPS1
NM_001271893	TWIST2
NM_057179	TWIST2
NM_001006657	WDR35
NM_020779	WDR35
