RNAAccession	ApprovedSymbol
NM_017780	CHD7
NM_001946	DUSP6
NM_022652	DUSP6
NM_003867	FGF17
NM_001206389	FGF8
NM_006119	FGF8
NM_033163	FGF8
NM_033164	FGF8
NM_033165	FGF8
NM_001174063	FGFR1
NM_001174064	FGFR1
NM_001174065	FGFR1
NM_001174066	FGFR1
NM_001174067	FGFR1
NM_015850	FGFR1
NM_023105	FGFR1
NM_023106	FGFR1
NM_023110	FGFR1
NM_013281	FLRT3
NM_198391	FLRT3
NM_000825	GNRH1
NM_001083111	GNRH1
NM_000406	GNRHR
NM_001012763	GNRHR
NM_004807	HS6ST1
NM_017563	IL17RD
NM_000216	KAL1
NM_002256	KISS1
NM_032551	KISS1R
NM_001130969	NSMF
NM_001130970	NSMF
NM_001130971	NSMF
NM_001178064	NSMF
NM_015537	NSMF
NM_001126128	PROK2
NM_021935	PROK2
NM_144773	PROKR2
NM_006080	SEMA3A
NM_001127496	SPRY4
NM_001293289	SPRY4
NM_001293290	SPRY4
NM_030964	SPRY4
NM_001178054	TAC3
NM_013251	TAC3
NM_001059	TACR3
NM_018117	WDR11
