RNAAccession	ApprovedSymbol
NM_022051	EGLN1
NM_000143	FH
NM_001077196	PDE11A
NM_001077197	PDE11A
NM_001077358	PDE11A
NM_016953	PDE11A
NM_001029851	PDE8B
NM_001029852	PDE8B
NM_001029853	PDE8B
NM_001029854	PDE8B
NM_003719	PDE8B
NM_001276289	PRKAR1A
NM_001276290	PRKAR1A
NM_001278433	PRKAR1A
NM_002734	PRKAR1A
NM_212471	PRKAR1A
NM_212472	PRKAR1A
NM_001294332	SDHA
NM_004168	SDHA
NM_017841	SDHAF2
NM_003000	SDHB
NM_001035511	SDHC
NM_001035512	SDHC
NM_001035513	SDHC
NM_001278172	SDHC
NM_003001	SDHC
NM_001276503	SDHD
NM_001276504	SDHD
NM_001276506	SDHD
NM_003002	SDHD
