RNAAccession	ApprovedSymbol
NM_001141945	ACTA2
NM_001613	ACTA2
NM_001017423	ALDH18A1
NM_002860	ALDH18A1
NM_012463	ATP6V0A2
NM_000088	COL1A1
NM_000089	COL1A2
NM_000090	COL3A1
NM_000093	COL5A1
NM_001278074	COL5A1
NM_000393	COL5A2
NM_016938	EFEMP2
NM_000501	ELN
NM_001081752	ELN
NM_001081753	ELN
NM_001081754	ELN
NM_001081755	ELN
NM_001278912	ELN
NM_001278913	ELN
NM_001278914	ELN
NM_001278915	ELN
NM_001278916	ELN
NM_001278917	ELN
NM_001278918	ELN
NM_001278939	ELN
NM_006329	FBLN5
NM_000138	FBN1
NM_001999	FBN2
NM_080473	GATA5
NM_001146039	GORAB
NM_152281	GORAB
NM_001042544	LTBP4
NM_001042545	LTBP4
NM_003573	LTBP4
NM_001040113	MYH11
NM_001040114	MYH11
NM_002474	MYH11
NM_022844	MYH11
NM_053025	MYLK
NM_053026	MYLK
NM_053027	MYLK
NM_053028	MYLK
NM_053031	MYLK
NM_053032	MYLK
NM_017617	NOTCH1
NM_001282279	PYCR1
NM_001282280	PYCR1
NM_001282281	PYCR1
NM_006907	PYCR1
NM_153824	PYCR1
NM_001242581	RIN2
NM_018993	RIN2
NM_003036	SKI
NM_030777	SLC2A10
NM_001145102	SMAD3
NM_001145103	SMAD3
NM_001145104	SMAD3
NM_005902	SMAD3
NM_005359	SMAD4
NM_001135599	TGFB2
NM_003238	TGFB2
NM_001130916	TGFBR1
NM_004612	TGFBR1
NM_001024847	TGFBR2
NM_003242	TGFBR2
NM_019105	TNXB
