RNAAccession	ApprovedSymbol
NM_001182	ALDH7A1
NM_001201377	ALDH7A1
NM_001202404	ALDH7A1
NM_000068	CACNA1A
NM_001127221	CACNA1A
NM_001127222	CACNA1A
NM_001174080	CACNA1A
NM_023035	CACNA1A
NM_001005407	CACNA1H
NM_021098	CACNA1H
NM_000726	CACNB4
NM_001005746	CACNB4
NM_001005747	CACNB4
NM_001145798	CACNB4
NM_000388	CASR
NM_001178065	CASR
NM_000742	CHRNA2
NM_001282455	CHRNA2
NM_000744	CHRNA4
NM_001256573	CHRNA4
NM_000748	CHRNB2
NM_001171087	CLCN2
NM_001171088	CLCN2
NM_001171089	CLCN2
NM_004366	CLCN2
NM_020361	CPA6
NM_001172420	EFHC1
NM_018100	EFHC1
NM_000806	GABRA1
NM_001127643	GABRA1
NM_001127644	GABRA1
NM_001127645	GABRA1
NM_001127648	GABRA1
NM_000814	GABRB3
NM_001191320	GABRB3
NM_001191321	GABRB3
NM_001278631	GABRB3
NM_021912	GABRB3
NM_000815	GABRD
NM_000816	GABRG2
NM_198903	GABRG2
NM_198904	GABRG2
NM_000833	GRIN2A
NM_001134407	GRIN2A
NM_001134408	GRIN2A
NM_000217	KCNA1
NM_001014797	KCNMA1
NM_001161352	KCNMA1
NM_001161353	KCNMA1
NM_001271518	KCNMA1
NM_001271519	KCNMA1
NM_001271520	KCNMA1
NM_001271521	KCNMA1
NM_001271522	KCNMA1
NM_002247	KCNMA1
NM_004518	KCNQ2
NM_172106	KCNQ2
NM_172107	KCNQ2
NM_172108	KCNQ2
NM_172109	KCNQ2
NM_001204824	KCNQ3
NM_004519	KCNQ3
NM_001272003	KCNT1
NM_020822	KCNT1
NM_005097	LGI1
NM_001168335	ME2
NM_002396	ME2
NM_001008860	NIPA2
NM_001008892	NIPA2
NM_001008894	NIPA2
NM_001184888	NIPA2
NM_001184889	NIPA2
NM_030922	NIPA2
NM_001256442	PRRT2
NM_001256443	PRRT2
NM_145239	PRRT2
NM_001165963	SCN1A
NM_001165964	SCN1A
NM_001202435	SCN1A
NM_006920	SCN1A
NM_001037	SCN1B
NM_199037	SCN1B
NM_001040142	SCN2A
NM_001040143	SCN2A
NM_021007	SCN2A
NM_001177984	SCN8A
NM_014191	SCN8A
NM_002977	SCN9A
NM_006516	SLC2A1
NM_001199107	TBC1D24
NM_020705	TBC1D24
