RNAAccession	ApprovedSymbol
NM_000051	ATM
NM_000057	BLM
NM_001287246	BLM
NM_001287247	BLM
NM_001287248	BLM
NM_000059	BRCA2
NM_032043	BRIP1
NM_000107	DDB2
NM_001300734	DDB2
NM_000400	ERCC2
NM_001130867	ERCC2
NM_000122	ERCC3
NM_000124	ERCC6
NM_000082	ERCC8
NM_001007233	ERCC8
NM_001007234	ERCC8
NM_001290285	ERCC8
NM_000135	FANCA
NM_001018112	FANCA
NM_001286167	FANCA
NM_001018113	FANCB
NM_152633	FANCB
NM_000136	FANCC
NM_001243743	FANCC
NM_001243744	FANCC
NM_001018115	FANCD2
NM_033084	FANCD2
NM_021922	FANCE
NM_022725	FANCF
NM_004629	FANCG
NM_001113378	FANCI
NM_018193	FANCI
NM_001114636	FANCL
NM_018062	FANCL
NM_020937	FANCM
NM_024675	PALB2
NM_001291969	POLH
NM_001291970	POLH
NM_006502	POLH
NM_002876	RAD51C
NM_058216	RAD51C
NM_032444	SLX4
NM_000553	WRN
NM_000380	XPA
NM_001145769	XPC
NM_004628	XPC
