RNAAccession	ApprovedSymbol
NM_001184	ATR
NM_032040	CCDC8
NM_018451	CENPJ
NM_001194998	CEP152
NM_014985	CEP152
NM_001042383	CEP63
NM_001042384	CEP63
NM_001042400	CEP63
NM_025180	CEP63
NM_001168370	CUL7
NM_014780	CUL7
NM_000163	GHR
NM_001242399	GHR
NM_001242400	GHR
NM_001242401	GHR
NM_001242402	GHR
NM_001242403	GHR
NM_001242404	GHR
NM_001242405	GHR
NM_001242406	GHR
NM_001242460	GHR
NM_001242462	GHR
NM_016350	NIN
NM_020921	NIN
NM_182944	NIN
NM_182946	NIN
NM_001173408	OBSL1
NM_001173431	OBSL1
NM_015311	OBSL1
NM_001190818	ORC1
NM_001190819	ORC1
NM_004153	ORC1
NM_006031	PCNT
NM_002894	RBBP8
NM_203291	RBBP8
NM_203292	RBBP8
NM_003401	XRCC4
NM_022406	XRCC4
NM_022550	XRCC4
