RNAAccession	ApprovedSymbol
NM_001033054	AIPL1
NM_001033055	AIPL1
NM_001285399	AIPL1
NM_001285400	AIPL1
NM_001285401	AIPL1
NM_001285402	AIPL1
NM_001285403	AIPL1
NM_014336	AIPL1
NM_025114	CEP290
NM_001193640	CRB1
NM_001257965	CRB1
NM_001257966	CRB1
NM_201253	CRB1
NM_000554	CRX
NM_000180	GUCY2D
NM_001023570	IQCB1
NM_001023571	IQCB1
NM_001172416	KCNJ13
NM_001172417	KCNJ13
NM_002242	KCNJ13
NM_001122769	LCA5
NM_181714	LCA5
NM_004744	LRAT
NM_001297778	NMNAT1
NM_001297779	NMNAT1
NM_022787	NMNAT1
NM_001164688	RD3
NM_183059	RD3
NM_152443	RDH12
NM_001199771	RDH5
NM_002905	RDH5
NM_000329	RPE65
NM_020366	RPGRIP1
NM_001040428	SPATA7
NM_018418	SPATA7
