RNAAccession	ApprovedSymbol
NM_004924	ACTN4
NM_001136540	APOL1
NM_001136541	APOL1
NM_003661	APOL1
NM_145343	APOL1
NM_001025616	ARHGAP24
NM_001042669	ARHGAP24
NM_001287805	ARHGAP24
NM_031305	ARHGAP24
NM_012120	CD2AP
NM_000091	COL4A3
NM_000092	COL4A4
NM_015697	COQ2
NM_182476	COQ6
NM_182480	COQ6
NM_001031714	INF2
NM_022489	INF2
NM_032714	INF2
NM_001174146	LMX1B
NM_001174147	LMX1B
NM_002316	LMX1B
NM_002473	MYH9
NM_004998	MYO1E
NM_004646	NPHS1
NM_001297575	NPHS2
NM_014625	NPHS2
NM_020381	PDSS2
NM_001165979	PLCE1
NM_001288989	PLCE1
NM_016341	PLCE1
NM_002848	PTPRO
NM_030667	PTPRO
NM_030668	PTPRO
NM_030669	PTPRO
NM_030670	PTPRO
NM_030671	PTPRO
NM_004621	TRPC6
NM_000378	WT1
NM_001198551	WT1
NM_001198552	WT1
NM_024424	WT1
NM_024426	WT1
