#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonSEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
127534	GJB4;NM_153212.2	1	+	35226805	35227706	35226805	35227706	1	35226805	35227706	nan	GJB4	nan	nan	0
2707	GJB3;NM_024009.2	1	+	35250313	35251226	35250313	35251226	1	35250313	35251226	nan	GJB3	nan	nan	0
10269	ZMPSTE24;NM_005857.4	1	+	40723893	40758391	40723893	40758391	10	40723893,40726460,40733407,40734040,40735596,40737515,40746964,40751546,40756475,40758066	40724116,40726707,40733594,40734257,40735849,40737757,40747249,40751751,40756719,40758391	nan	ZMPSTE24	nan	nan	0,0,0,0,0,0,0,0,0,0
2312	FLG;NM_002016.1	1	-	152275125	152287982	152275125	152287982	2	152275125,152287744	152287273,152287982	nan	FLG	nan	nan	0,0
4014	LOR;NM_000427.2	1	+	153233375	153234414	153233375	153234414	1	153233375	153234414	nan	LOR	nan	nan	0
2629	GBA;NM_000157.3	1	-	155204735	155210953	155204735	155210953	11	155204735,155204935,155205421,155205985,155207081,155207874,155208257,155209356,155209626,155210370,155210826	155204941,155205152,155205685,155206310,155207419,155208147,155208491,155209603,155209918,155210558,155210953	nan	GBA	nan	nan	0,0,0,0,0,0,0,0,0,0,0
7840	ALMS1;NM_015120.4	2	+	73612946	73836789	73612946	73836789	23	73612946,73635699,73646200,73649934,73651507,73653530,73659275,73675039,73682238,73716710,73746851,73761900,73777343,73784296,73786048,73799338,73826477,73827754,73828271,73829261,73830317,73835551,73836644	73613370,73635925,73646496,73650152,73652080,73653731,73659469,73681244,73682472,73718675,73747193,73762126,73777614,73784531,73786319,73800601,73826698,73828058,73828613,73829545,73830481,73835751,73836789	nan	ALMS1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071	ERCC3;NM_000122.1	2	-	128015121	128051707	128015121	128051707	15	128015121,128016821,128018753,128028861,128030390,128036698,128037972,128044228,128046185,128046862,128047214,128047749,128050135,128051038,128051579	128015353,128017074,128018972,128029079,128030587,128037001,128038257,128044643,128046490,128047127,128047450,128047899,128050472,128051344,128051707	nan	ERCC3	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8540	AGPS;NM_003659.3	2	+	178257467	178402973	178257467	178402973	20	178257467,178284946,178299004,178301441,178301657,178305642,178307084,178310223,178326570,178333093,178346736,178357825,178362366,178364295,178370183,178372647,178378496,178385946,178388425,178402751	178257827,178285136,178299195,178301662,178301832,178305814,178307264,178310404,178326796,178333302,178346964,178357977,178362543,178364508,178370353,178372809,178378686,178386146,178388583,178402973	nan	AGPS	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26154	ABCA12;NM_173076.2	2	-	215797307	216002981	215797307	216002981	53	215797307,215798751,215802183,215807598,215809674,215812095,215813269,215813713,215815552,215818527,215819875,215821336,215822950,215823697,215831521,215833393,215834946,215838622,215839451,215840458,215842989,215843477,215845156,215846860,215848320,215851215,215852320,215854002,215854225,215855375,215862368,215865378,215866231,215868882,215872400,215875004,215876112,215876644,215880163,215882681,215884009,215884213,215890346,215891493,215896494,215901626,215910510,215914299,215917160,215919246,215928738,215976269,216002812	215797515,215798989,215802389,215807791,215809878,215812330,215813511,215813923,215815857,215818881,215820135,215821552,215823228,215823852,215831727,215833581,215835174,215838816,215839638,215840811,215843240,215843814,215845417,215847157,215848639,215851502,215852567,215854237,215854395,215855805,215862583,215865794,215866511,215869073,215872620,215875244,215876423,215876909,215880437,215882906,215884222,215884570,215890553,215891712,215896670,215901839,215910789,215914585,215917358,215919438,215928992,215976463,216002981	nan	ABCA12	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285362	SUMF1;NM_182760.3	3	-	4403777	4508979	4403777	4508979	9	4403777,4417963,4452498,4458761,4459643,4461697,4490899,4494509,4508609	4403988,4418123,4452712,4458976,4459866,4461880,4491074,4494783,4508979	nan	SUMF1	nan	nan	0,0,0,0,0,0,0,0,0
51099	ABHD5;NM_016006.5	3	+	43732434	43760074	43732434	43760074	7	43732434,43740717,43743656,43753150,43756388,43759112,43759884	43732581,43740903,43744129,43753405,43756600,43759399,43760074	nan	ABHD5	nan	nan	0,0,0,0,0,0,0
