chr10	13100577	13100777	CNV01
chr10	90871932	90872132	CNV02
chr10	90869951	90870151	CNV02_1
chr10	90875132	90875332	CNV03
chr10	90881072	90881272	CNV04
chr10	90886302	90886502	CNV05
chr10	90887086	90887286	CNV05_1
chr10	90900302	90900502	CNV06
chr10	90905302	90905502	CNV07
chr10	90904571	90904771	CNV07_1
chr11	126373957	126374157	CNV08
chr11	126373127	126373327	CNV08_1
chr14	103713368	103713568	CNV09
chr14	103715862	103716062	CNV09_1
chr17	28745181	28745381	CNV10
chr17	28745696	28745896	CNV10_1
chr19	10869817	10870017	CNV11
chr19	10867894	10868094	CNV11_1
chr1	55038877	55039077	CNV12
chr1	55038099	55038299	CNV12_1
chr20	10643041	10643241	CNV13
chr2	112826649	112826849	CNV14
chr2	112805963	112806163	CNV14_1
chr5	13763956	13764156	CNV15
chr6	160157738	160157938	CNV16
chr6	160243267	160243467	CNV16_1
