#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonSEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
4595	MUTYH;NM_001128425.2	1	-	45794977	45806112	45794977	45806112	16	45794977,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805890	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799275,45800183,45806112	nan	MUTYH	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4072	EPCAM;NM_002354.3	2	+	47596449	47613752	47596449	47613752	9	47596449,47600601,47600946,47602372,47604152,47606091,47606907,47612304,47613710	47596720,47600709,47601187,47602438,47604216,47606193,47607108,47612349,47613752	nan	EPCAM	nan	nan	0,0,0,0,0,0,0,0,0
4436	MSH2;NM_000251.3	2	+	47630294	47710088	47630294	47710088	16	47630294,47635539,47637232,47639552,47641407,47643434,47656880,47672686,47690169,47693796,47698103,47702163,47703505,47705410,47707834,47709917	47630541,47635694,47637511,47639699,47641557,47643568,47657080,47672796,47690293,47693947,47698201,47702409,47703710,47705658,47708010,47710088	nan	MSH2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2956	MSH6;NM_000179.3	2	+	48010283	48033999	48010283	48033999	10	48010283,48018065,48023032,48025749,48030558,48032048,48032756,48033342,48033590,48033917	48010632,48018262,48023202,48028294,48030824,48032166,48032846,48033497,48033790,48033999	nan	MSH6	nan	nan	0,0,0,0,0,0,0,0,0,0
4292	MLH1;NM_000249.4	3	+	37035008	37092144	37035008	37092144	19	37035008,37038109,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976	37035154,37038200,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092144	nan	MLH1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324	APC;NM_000038.6	5	+	112073581	112179823	112073581	112179823	16	112073581,112090569,112102022,112102885,112111325,112116486,112128142,112136975,112151191,112154662,112157592,112162804,112163625,112164552,112170647,112173249	112073622,112090722,112102107,112103087,112111434,112116600,112128226,112137080,112151290,112155041,112157688,112162944,112163703,112164669,112170862,112179823	nan	APC	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5395	PMS2;NM_000535.7	7	-	6013029	6048680	6013029	6048680	15	6013029,6017218,6018226,6022454,6026389,6029430,6031603,6035164,6036956,6038738,6042083,6043320,6043602,6045522,6048627	6013173,6017388,6018327,6022622,6027251,6029586,6031688,6035264,6037054,6038906,6042267,6043423,6043689,6045662,6048680	nan	PMS2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
657	BMPR1A;NM_004329.3	10	+	88516375	88683476	88516375	88683476	13	88516375,88598621,88635623,88649818,88651883,88659550,88659783,88671996,88676890,88678928,88681276,88683132,88683350	88516676,88598736,88635842,88649981,88651986,88659647,88659883,88672141,88677083,88679226,88681452,88683263,88683476	nan	BMPR1A	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0
5728	PTEN;NM_000314.8	10	+	89623381	89725229	89623381	89725229	9	89623381,89653781,89685269,89690802,89692769,89711874,89717609,89720650,89725043	89624305,89653866,89685314,89690846,89693008,89712016,89717776,89720875,89725229	nan	PTEN	nan	nan	0,0,0,0,0,0,0,0,0
5426	POLE;NM_006231.4	12	-	133201282	133263928	133201282	133263928	49	133201282,133201490,133202230,133202702,133208900,133209249,133210771,133212477,133214599,133215710,133218232,133218762,133219091,133219405,133219809,133219992,133220422,133225514,133225891,133226262,133233721,133233934,133234453,133235880,133237554,133238112,133240589,133240955,133241887,133244088,133244941,133245220,133245396,133248800,133249212,133249749,133250160,133251983,133252320,133252679,133253131,133253948,133254163,133256082,133256539,133256763,133257192,133257723,133263839	133201396,133201580,133202356,133202903,133209094,133209381,133210964,133212610,133214725,133215884,133218437,133218983,133219315,133219582,133219916,133220146,133220563,133225658,133226101,133226475,133233844,133234015,133234556,133236095,133237750,133238270,133240734,133241048,133242036,133244234,133245088,133245323,133245525,133248908,133249425,133249863,133250293,133252103,133252406,133252790,133253239,133254029,133254305,133256237,133256632,133256808,133257273,133257865,133263928	nan	POLE	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6447	SCG5;NM_001144757.2	15	+	32933813	32988810	32933813	32988810	6	32933813,32935786,32971966,32976757,32983910,32988714	32933979,32936019,32972116,32976870,32983964,32988810	nan	SCG5	nan	nan	0,0,0,0,0,0
26585	GREM1;NM_013372.7	15	+	33010204	33023446	33010204	33023446	2	33010204,33022891	33010362,33023446	nan	GREM1	nan	nan	0,0
4913	NTHL1;NM_002528.7	16	-	2089924	2097835	2089924	2097835	6	2089924,2090133,2093567,2094630,2096128,2097709	2090048,2090239,2093727,2094801,2096367,2097835	nan	NTHL1	nan	nan	0,0,0,0,0,0
54894	RNF43;NM_017763.6	17	-	56432303	56494895	56432303	56494895	10	56432303,56434828,56437509,56438143,56439904,56440635,56440886,56448271,56492686,56494377	56432347,56436184,56437612,56438305,56440009,56440767,56440961,56448394,56493323,56494895	nan	RNF43	nan	nan	0,0,0,0,0,0,0,0,0,0
4089	SMAD4;NM_005359.6	18	+	48556582	48604837	48556582	48604837	12	48556582,48573289,48575055,48575664,48581150,48584494,48584709,48586235,48591792,48593388,48603007,48604625	48556993,48573665,48575230,48575694,48581363,48584614,48584826,48586286,48591976,48593557,48603146,48604837	nan	SMAD4	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
6794	STK11;NM_000455.5	19	+	1205776	1226646	1205776	1226646	9	1205776,1218415,1219322,1220371,1220579,1221211,1221947,1222983,1226452	1207202,1218499,1219412,1220504,1220716,1221339,1222005,1223171,1226646	nan	STK11	nan	nan	0,0,0,0,0,0,0,0,0
5424	POLD1;NM_002691.4	19	+	50887603	50921204	50887603	50921204	27	50887603,50902107,50902627,50905034,50905255,50905461,50905710,50905868,50906309,50906749,50909438,50909663,50910239,50910583,50912041,50912378,50912775,50916682,50916998,50918071,50918694,50918980,50919652,50919866,50920301,50920428,50921098	50887647,50902310,50902741,50905181,50905381,50905630,50905792,50905998,50906476,50906854,50909579,50909774,50910431,50910672,50912158,50912492,50912923,50916778,50917136,50918247,50918847,50919083,50919785,50919980,50920354,50920526,50921204	nan	POLD1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
