#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonSEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
23095	KIF1B;NM_015074.3	1	+	10292376	10436655	10292376	10436655	46	10292376,10316294,10318540,10321952,10327427,10328199,10331549,10332288,10335475,10336368,10338033,10342447,10351129,10352094,10355133,10355707,10356629,10356944,10357221,10380090,10381756,10383931,10384805,10386158,10394567,10396704,10397121,10397418,10399816,10402097,10403279,10405892,10407808,10408696,10412678,10420976,10421739,10423330,10425147,10425456,10428514,10431188,10434363,10434901,10435302,10436592	10292502,10316391,10318740,10322038,10327626,10328331,10331647,10332374,10335571,10336467,10338196,10342601,10351229,10352190,10355233,10355834,10356733,10357145,10357314,10380204,10381925,10384130,10384963,10386427,10394706,10396810,10397271,10397601,10399927,10402236,10403355,10406021,10407895,10408801,10412804,10421111,10421893,10423412,10425313,10425716,10428606,10431330,10434533,10435114,10435441,10436655	nan	KIF1B	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6390	SDHB;NM_003000.2	1	-	17345365	17380524	17345365	17380524	8	17345365,17349092,17350457,17354233,17355084,17359544,17371245,17380432	17345463,17349235,17350579,17354370,17355241,17359650,17371393,17380524	nan	SDHB	nan	nan	0,0,0,0,0,0,0,0
4595	MUTYH;NM_001128425.1	1	-	45794967	45805936	45794967	45805936	16	45794967,45796177,45796843,45797081,45797322,45797684,45797827,45798052,45798235,45798424,45798579,45798758,45798946,45799074,45800052,45805880	45795119,45796239,45797016,45797238,45797531,45797768,45797992,45798170,45798369,45798516,45798641,45798852,45799006,45799285,45800193,45805936	nan	MUTYH	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6391	SDHC;NM_003001.3	1	+	161284185	161332233	161284185	161332233	6	161284185,161293393,161298175,161310373,161326456,161332108	161284225,161293470,161298297,161310455,161326640,161332233	nan	SDHC	nan	nan	0,0,0,0,0,0
2271	FH;NM_000143.3	1	-	241661117	241683032	241661117	241683032	10	241661117,241663726,241665732,241667331,241669292,241671892,241675256,241676892,241680471,241682880	241661280,241663900,241665880,241667555,241669478,241672095,241675453,241677023,241680626,241683032	nan	FH	nan	nan	0,0,0,0,0,0,0,0,0,0
4436	MSH2;NM_000251.2	2	+	47630320	47710098	47630320	47710098	16	47630320,47635529,47637222,47639542,47641397,47643424,47656870,47672676,47690159,47693786,47698093,47702153,47703495,47705400,47707824,47709907	47630551,47635704,47637521,47639709,47641567,47643578,47657090,47672806,47690303,47693957,47698211,47702419,47703720,47705668,47708020,47710098	nan	MSH2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2956	MSH6;NM_000179.2	2	+	48010362	48034009	48010362	48034009	10	48010362,48018055,48023022,48025739,48030548,48032038,48032746,48033332,48033580,48033907	48010642,48018272,48023212,48028304,48030834,48032176,48032856,48033507,48033800,48034009	nan	MSH6	nan	nan	0,0,0,0,0,0,0,0,0,0
55654	TMEM127;NM_017849.3	2	-	96919535	96931129	96919535	96931129	3	96919535,96920560,96930865	96919863,96920745,96931129	nan	TMEM127	nan	nan	0,0,0
7428	VHL;NM_000551.3	3	+	10183521	10191659	10183521	10191659	3	10183521,10188187,10191460	10183881,10188330,10191659	nan	VHL	nan	nan	0,0,0
4292	MLH1;NM_000249.3	3	+	37035028	37092154	37035028	37092154	19	37035028,37038099,37042435,37045881,37048471,37050294,37053300,37053491,37055912,37058986,37061790,37067117,37070264,37081666,37083748,37088999,37089997,37090384,37091966	37035164,37038210,37042554,37045975,37048564,37050406,37053363,37053600,37056045,37059100,37061964,37067508,37070433,37081795,37083832,37089184,37090110,37090518,37092154	nan	MLH1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8314	BAP1;NM_004656.3	3	-	52436293	52443904	52436293	52443904	17	52436293,52436607,52436784,52437143,52437421,52438458,52439115,52439770,52440258,52440834,52441179,52441404,52441963,52442479,52443559,52443719,52443847	52436447,52436700,52436897,52437324,52437920,52438612,52439320,52439938,52440402,52440933,52441342,52441486,52442103,52442632,52443634,52443769,52443904	nan	BAP1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6389	SDHA;NM_004168.3	5	+	218460	256545	218460	256545	15	218460,223586,224464,225523,225987,228289,230980,233581,235248,236532,240462,251096,251442,254497,256438	218543,223693,224646,225687,226172,228458,231125,233770,235464,236724,240601,251228,251593,254631,256545	nan	SDHA	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7015	TERT;NM_198253.2	5	-	1253832	1295114	1253832	1295114	16	1253832,1254472,1255391,1258702,1260578,1264508,1266568,1268624,1271223,1272289,1278745,1279395,1280262,1282533,1293417,1294875	1253956,1254630,1255536,1258784,1260725,1264717,1266660,1268758,1271329,1272405,1278921,1279595,1280463,1282749,1294791,1295114	nan	TERT	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324	APC;NM_000038.5	5	+	112090577	112179833	112090577	112179833	15	112090577,112102012,112102875,112111315,112116476,112128132,112136965,112151181,112154652,112157582,112162794,112163615,112164542,112170637,112173239	112090732,112102117,112103097,112111444,112116610,112128236,112137090,112151300,112155051,112157698,112162954,112163713,112164679,112170872,112179833	nan	APC	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5395	PMS2;NM_000535.6	7	-	6013019	6048660	6013019	6048660	15	6013019,6017208,6018216,6022444,6026379,6029420,6031593,6035154,6036946,6038728,6042073,6043310,6043592,6045512,6048617	6013183,6017398,6018337,6022632,6027261,6029596,6031698,6035274,6037064,6038916,6042277,6043433,6043699,6045672,6048660	nan	PMS2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4191	MDH2;NM_005918.3	7	+	75677468	75695738	75677468	75695738	9	75677468,75684137,75686717,75687276,75689680,75692822,75693646,75694109,75695586	75677554,75684326,75686821,75687406,75689826,75692920,75693766,75694281,75695738	nan	MDH2	nan	nan	0,0,0,0,0,0,0,0,0
4233	MET;NM_001127500.2	7	+	116339128	116436188	116339128	116436188	20	116339128,116371711,116379993,116380895,116395398,116397480,116397681,116398502,116399380,116403093,116409688,116411541,116411892,116414924,116417432,116418819,116422031,116423347,116435698,116435930	116340348,116371923,116380148,116381089,116395579,116397603,116397838,116398684,116399554,116403332,116409855,116411718,116412053,116415175,116417533,116419021,116422161,116423533,116435855,116436188	nan	MET	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25913	POT1;NM_015450.2	7	-	124464005	124537237	124464005	124537237	15	124464005,124465295,124467257,124469297,124475322,124481016,124482850,124486985,124491915,124493015,124499000,124503393,124510954,124532309,124537208	124464138,124465421,124467369,124469406,124475478,124481242,124483027,124487062,124492015,124493202,124499176,124503704,124511105,124532444,124537237	nan	POT1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029	CDKN2A;NM_000077.4	9	-	21968217	21974836	21968217	21974836	3	21968217,21970890,21974666	21968251,21971217,21974836	nan	CDKN2A	nan	nan	0,0,0
